Usuario,id_equipo,RESPONISVA,FECHA DE ASIGNACION,estatus
75,160,1,2019-07-10,ACTIVO
75,161,1,2019-07-10,ACTIVO
75,162,1,2020-04-01,ACTIVO
76,163,0,1900-01-01,ACTIVO
76,164,0,1900-01-01,ACTIVO
77,165,1,2021-04-30,ACTIVO
77,166,1,2021-04-30,ACTIVO
77,167,0,1900-01-01,ACTIVO
77,168,1,2021-05-04,ACTIVO
77,169,1,2021-05-04,ACTIVO
78,170,0,2021-05-05,ACTIVO
78,171,0,2021-05-05,ACTIVO
79,172,0,2021-11-24,ACTIVO
80,173,0,1900-01-01,ACTIVO
80,174,0,1900-01-01,ACTIVO
80,175,0,1900-01-01,ACTIVO
81,176,1,2022-02-14,ACTIVO
82,177,1,2022-02-09,ACTIVO
82,178,1,2022-02-09,ACTIVO
83,179,1,2021-03-27,ACTIVO
84,180,1,2021-05-19,ACTIVO
84,181,1,2021-05-19,ACTIVO
84,182,1,2021-10-07,ACTIVO
85,183,0,1900-01-01,ACTIVO
85,184,0,1900-01-01,ACTIVO
86,185,1,2022-02-08,ACTIVO
87,186,1,2021-05-31,ACTIVO
87,187,1,2019-10-24,ACTIVO
88,188,1,2022-03-01,ACTIVO
88,189,1,2022-03-01,ACTIVO
88,190,1,2022-03-01,ACTIVO
89,191,1,2021-10-06,ACTIVO
89,192,1,2021-10-06,ACTIVO
90,193,0,1900-01-01,ACTIVO
90,194,0,1900-01-01,ACTIVO
91,195,1,2021-07-09,ACTIVO
91,196,1,2021-07-09,ACTIVO
92,197,0,2022-02-09,ACTIVO
92,198,1,2022-02-09,ACTIVO
93,199,1,1900-01-01,ACTIVO
94,200,1,1900-01-01,ACTIVO
94,201,1,1900-01-01,ACTIVO
94,202,1,1900-01-01,ACTIVO
94,203,1,1900-01-01,ACTIVO
94,204,1,2017-08-25,ACTIVO
95,205,1,2020-01-09,ACTIVO
95,206,1,2021-01-07,ACTIVO
96,207,0,1900-01-01,ACTIVO
96,208,0,1900-01-01,ACTIVO
97,209,1,2019-12-26,ACTIVO
97,210,1,2019-12-26,ACTIVO
97,211,1,2019-12-26,ACTIVO
97,212,1,2021-10-04,ACTIVO
97,213,0,2021-10-04,ACTIVO
98,214,1,2021-07-16,ACTIVO
98,215,0,2020-07-14,ACTIVO
98,216,1,2020-07-14,ACTIVO
99,217,1,2021-10-06,ACTIVO
99,218,0,2021-12-03,ACTIVO
99,219,0,1900-01-01,ACTIVO
100,220,1,2021-12-09,ACTIVO
100,221,1,2021-06-12,ACTIVO
100,222,1,2021-04-26,ACTIVO
101,223,1,2020-12-02,ACTIVO
101,224,1,2021-09-28,ACTIVO
101,225,1,2021-09-28,ACTIVO
101,226,0,1900-01-01,ACTIVO
101,227,0,1900-01-01,ACTIVO
101,228,0,1900-01-01,ACTIVO
102,229,0,2019-10-18,ACTIVO
102,230,0,1900-01-01,ACTIVO
102,231,0,1900-01-01,ACTIVO
103,232,1,2021-11-02,ACTIVO
104,233,1,1900-01-01,ACTIVO
104,234,1,2021-01-14,ACTIVO
104,235,1,2021-10-19,ACTIVO
