COMERCIAL,
MANTENIMIENTO,
CALIDAD,
OPERACIONES,
ADMINISTRATIVO,
LOGISTICA,
PRODUCCION,
CONTABILIDAD,
DIRECCION,
SISTEMAS,
JURIDICO,
RECURSOS HUMANOS,
COMPRAS,
ALMACEN,
VENTAS,
FOTOVOLTAICO,
PROSPECCION,
AUTOMATIZACION,
PLANEACION,
CXC,
CONTRALORIA,
ALMACEN FORANEO,
SAC,
SEGURIDAD E HIGIENE,
PRESUPUESTOS,
ALMACEN LOCAL,
PROCESOS,
TECNICOS,
PROYECTOS,
NOMINAS,
TESORERIA,
PANEL,
ACTIVOS FIJOS
